cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.860168,1.81365,8.66822,1.01111,2.23782,8.46538,0.836076,1.94673,9.46069,0.860168,-1.32794,7.01365,1.14521,-1.12718,6.92752,0.406898,1.26255,7.89993,0.773111,-2.88337,8.66766,0.807398,2.85883,6.76644,1.07,1.14648,8.67203,0.913348,0.178814,6.0732,0.318478,1.50303,8.26461,0.779519,1.00338,8.76807,0.295356,0.809582,5.93866,0.696945,-0.0737988,6.01139,110,0,0,1,0.318478
1.22094,2.40879,1.88693,0.588303,2.07482,3.04403,1.55106,1.72184,2.12763,1.22094,-0.732799,2.64218,2.33831,-0.87003,1.76737,2.13505,-0.653377,1.82826,1.16463,0.904332,1.68046,1.64391,-0.448353,1.99452,1.13615,2.56648,1.81629,0.62309,-1.22042,0.787896,0.369072,2.95316,1.48967,0.80643,2.39302,1.89572,0.221845,-1.43478,-0.0478131,0.409054,-1.10479,1.11106,146,0,0,3,2.22746
0.246177,1.14942,9.04235,0.73454,0.878162,7.96743,1.03216,1.09258,8.43548,0.246177,-1.99217,6.664,0.465919,0.284042,6.08475,0.157804,0.397567,6.34652,0.70369,2.61525,7.93312,0.585481,-0.937442,3.73984,1.22092,0.479126,7.73558,0.569669,1.93144,4.74327,0.819429,0.580483,7.87849,0.414083,0.277532,7.32849,0.303986,1.21137,4.46746,0.39568,2.46269,4.5886,35,0,0,0,0
1.79339,-2.35328,-5.1129,1.9848,-2.94807,-4.77458,1.69403,-2.87728,-5.08677,1.79339,0.788315,-4.28128,0.980641,-0.16329,-3.85107,0.558386,-0.0367995,-4.61026,1.88773,-2.85434,-4.47182,0.862768,-1.43937,-3.47716,0.197999,0.484811,-6.31095,0.945961,1.08109,-3.39667,0.298414,0.580751,-5.67893,0.103086,-2.3758,-5.34886,0.410516,1.23225,-3.7631,0.543652,0.967142,-2.96751,248,4,2.45224,3,0.584217
1.59424,2.94446,3.43613,1.75354,-2.38365,3.52169,1.54335,-2.44492,4.01312,1.59424,-0.19713,2.49971,2.05146,-0.694923,2.44441,2.27334,-0.595892,2.2441,0.44633,-1.38731,3.75182,0.545624,0.487842,2.65962,1.38013,-2.73053,3.87315,2.07478,-0.830434,1.89152,0.96685,-2.61852,3.97472,0.433042,-2.98275,3.53873,0.76256,-1.06803,1.78542,1.34566,-0.696659,1.92444,86,2,1.30384,2,2.10822
1.40345,-1.83609,-7.62954,1.56879,-1.58856,-7.53932,1.66815,-1.95855,-8.08761,1.40345,1.3055,-4.51815,0.642525,1.89325,-4.8381,0.569464,2.58721,-4.57721,1.47615,-2.43838,-7.47178,0.995582,-3.0418,-3.16444,0.770083,-0.872292,-8.21047,0.644728,0.667236,-3.90011,0.273596,-0.581632,-8.70398,0.513979,-1.02544,-7.74259,0.587701,0.549986,-3.87602,0.0919517,1.51178,-3.64219,78,0,0,1,0.372434
1.69061,0.339517,-5.45438,1.56974,0.120815,-5.6014,1.21037,0.161626,-6.42157,1.69061,-2.80208,-5.60307,1.90385,-2.61535,-5.44522,1.43046,-2.49657,-5.28423,0.577899,1.66253,-6.00849,1.18356,3.03034,-5.10178,1.30433,-0.296179,-5.96718,0.991976,-1.53734,-4.48113,0.684412,-0.285708,-6.20977,0.619995,-0.307739,-5.60594,0.656321,-1.62719,-4.66233,0.343391,-1.36497,-3.96667,153,4,2.20991,4,0.691871
1.58094,-3.10095,-2.82878,2.09415,2.52918,-2.65573,1.95643,2.36413,-2.47835,1.58094,0.0406467,-2.78005,1.87666,0.721855,-2.47784,1.37812,0.99444,-3.27044,0.726853,-2.8161,-2.53998,1.36771,0.419661,-2.60855,1.75311,1.98506,-2.09305,0.778369,2.26503,-3.12897,1.59003,2.01897,-2.0337,0.172626,1.66741,-2.48502,0.234137,3.00711,-2.88586,0.62612,2.00953,-3.07816,86,4,2.99378,0,0
2.21529,-3.01023,7.31339,3.01306,-2.72614,7.077,3.02625,-2.84033,7.35539,2.21529,0.131362,5.40303,1.64121,-0.184053,5.37177,1.07281,-0.254283,5.3936,2.09992,3.02971,7.29902,0.34233,2.64437,5.40669,1.38832,-2.1877,7.06789,1.4075,-0.312824,4.73159,0.651209,-2.39207,6.79656,0.762211,-2.01343,7.22498,0.96691,-0.372129,4.86383,0.445983,-0.183968,4.34795,117,1,0.234504,5,2.24202
2.23314,2.80022,2.99082,1.919,-3.07374,3.60931,1.18134,-2.98534,4.54867,2.23314,-0.341377,2.80085,2.7975,-0.538905,2.49209,2.07956,0.051059,2.35551,1.43794,-3.12457,4.24274,0.952044,0.602515,1.80441,0.314196,-0.531933,3.60722,1.36318,-0.323552,2.4761,0.133584,-1.89255,2.77785,0.314723,-0.10387,3.40144,0.162185,-0.35349,2.2173,1.20108,-0.31951,2.50643,89,1,1.43794,3,1.631
