cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
1.40834,2.26065,-2.21046,-1.84458,1.51924,2.56743,-2.41073,-2.07819,0.676354,2.96366,-3.04835,-1.98898,1.40834,-0.88094,-2.60148,-2.22853,1.58161,-1.27215,-2.26163,-1.95036,0.800093,-1.64821,-2.97273,-2.05593,0.532408,0.032724,-2.59265,-2.5598,0.742822,-2.78191,-2.73148,-2.71428,0.82992,-0.70251,-1.66704,-1.52753,1.20216,3.0564,-1.81013,-1.73658,152,2,0.326678,1,0.0810641
1.7663,-2.66881,2.46259,2.19625,2.77185,-3.08865,2.6587,2.53171,2.2572,3.07007,2.9205,2.6623,1.7663,0.472784,3.30484,3.0343,1.64111,0.907618,3.20764,2.90536,1.04772,0.977463,3.4201,2.70973,0.972984,-2.89946,3.41812,3.40796,1.2442,1.16189,2.30421,2.29808,0.287782,-1.2487,4.22429,3.53897,1.36511,2.84835,2.19404,2.13419,66,1,0.174621,1,0.0975581
2.44971,2.73254,-5.63233,-5.47314,2.91719,2.87933,-5.6777,-5.5604,2.55261,2.83461,-5.84519,-5.63134,2.44971,-0.409051,-6.18097,-6.02177,2.15877,-0.57373,-6.21235,-6.01538,1.52985,-0.609688,-6.28983,-5.83451,0.808847,-2.36808,-5.58905,-5.57438,1.39899,-0.823924,-6.27503,-6.27008,0.339087,0.460191,-5.48351,-4.91469,2.28595,2.51715,-5.67413,-5.65134,143,3,2.94565,3,2.41992
1.23979,0.416082,6.62081,6.16996,1.30102,0.213318,6.62467,6.20189,0.285459,0.136649,7.94239,6.05397,1.23979,-2.72551,5.79641,5.34557,1.10517,-2.52818,5.80864,5.28638,0.440181,-1.48565,6.94154,5.47069,0.618563,2.19914,6.82322,6.79839,0.567972,0.466231,4.66581,4.63649,0.838046,-2.16606,6.15548,6.00654,0.794252,-0.620068,5.68947,5.52614,111,2,0.705324,0,0
0.744554,-1.43795,5.0077,4.19733,0.729475,-1.27652,5.01361,4.18675,0.320312,0.00921576,6.24201,4.46595,0.744554,1.70364,6.47475,5.66421,0.735724,1.39453,6.49388,5.67374,0.0458885,1.86648,9.06625,5.36124,0.377213,-2.86509,3.222,3.15806,0.244161,2.35632,3.6983,3.55713,0.20481,-0.679665,7.54527,6.58606,0.691347,0.153826,5.41359,5.20757,58,1,0.223095,1,0.0433259
1.21999,-0.381374,-5.60561,-5.14515,1.28161,-0.14405,-5.56806,-5.13667,0.988993,-0.0188109,-6.10929,-5.35113,1.21999,2.76022,-8.07381,-7.61333,0.714885,2.4053,-8.61387,-7.77043,0.79499,2.11391,-8.28153,-7.34543,0.374735,-2.39,-4.35947,-4.29454,0.792804,0.563182,-7.45625,-7.44099,1.11142,2.90794,-7.37216,-7.28212,1.2847,0.185754,-5.77958,-5.71072,100,2,1.61362,1,0.187174
0.931387,0.380053,-1.22464,-0.748234,0.958853,-0.247951,-1.01665,-0.608608,0.777249,-0.420408,0.0495649,0.0190748,0.931387,-2.76154,1.28215,0.792041,0.87558,-2.39944,0.827006,0.450674,0.664009,-2.26606,-0.545762,-0.191126,0.475832,-0.804542,1.35208,1.31617,0.372449,1.4904,1.05905,1.00812,0.991795,-2.0477,-0.778938,-0.70908,0.38047,0.0673956,-1.51049,-1.08751,90,0,0,2,1.08704
1.35977,2.78843,6.32346,5.92541,1.16468,2.92494,6.41818,5.92927,0.177758,-2.75558,8.54695,6.19192,1.35977,-0.353159,6.66385,6.2658,1.59,-0.355009,6.55856,6.24027,0.608525,-0.438085,7.11561,5.94512,0.788139,1.04495,6.35585,6.34041,0.339031,-2.63579,4.65402,4.57575,0.852823,-0.110302,6.72941,6.58491,0.935038,-2.21331,6.20228,6.07934,91,0,0,2,1.09266
0.7034,0.328988,2.10201,1.30643,1.67383,0.405933,1.89765,1.62011,1.1743,0.51623,2.77767,2.15774,0.7034,-2.81261,4.29915,3.4433,0.990196,1.80712,4.01648,3.42106,0.396173,2.48007,4.07742,2.51257,0.677723,0.509147,1.13673,1.1199,0.62629,-1.23151,3.09345,3.06931,0.983351,2.12923,2.28701,2.17719,0.496619,0.525896,3.5291,3.18633,96,4,1.66395,1,0.667392
3.03088,2.46225,-4.15706,-4.04758,3.30321,2.28742,-4.09054,-3.99686,2.81452,2.42363,-3.94707,-3.76526,3.03088,-0.679342,-1.77256,-1.66982,2.0629,0.942506,-0.909642,-0.76471,1.52259,0.855632,-1.51073,-1.1161,1.52974,2.98717,-3.59378,-3.58964,1.76165,0.935109,-1.26585,-1.26318,0.272182,-1.74628,-1.1892,-0.668477,1.7269,1.93072,-3.95491,-3.91566,122,3,3.6286,4,2.65634
