cLO_pT,cLO_phi,cLO_eta,c_pT,c_phi,c_eta,chad_pT,chad_phi,chad_eta,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbar_pT,cbar_phi,cbar_eta,cbarhad_pT,cbarhad_phi,cbarhad_eta,d1_pT,d1_phi,d1_eta,d1bar_pT,d1bar_phi,d1bar_eta,d2_pT,d2_phi,d2_eta,d2bar_pT,d2bar_phi,d2bar_eta,d3_pT,d3_phi,d3_eta,d3bar_pT,d3bar_phi,d3bar_eta,d4_pT,d4_phi,d4_eta,d4bar_pT,d4bar_phi,d4bar_eta,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
4.99179,-1.94118,1.36278,3.19644,-1.86699,1.5799,3.00681,-1.80982,1.51002,4.99179,1.20042,2.28102,5.10388,1.02772,2.35792,4.16145,1.1725,2.49332,2.0691,-1.90182,1.56894,2.33508,0.964626,2.21905,0.965358,-1.61162,1.34231,1.93753,1.42386,2.70311,0.323378,-1.62724,1.59088,0.642039,-1.60375,1.19289,0.728323,1.49065,2.79097,1.21181,1.38374,2.64411,94,4,3.32604,6,5.29121
4.73885,-0.981763,7.04833,4.72704,-0.708494,7.01655,4.30021,-0.652849,7.0399,4.73885,2.15983,4.66984,3.914,1.29815,4.99622,4.05738,1.37151,4.97023,2.79265,-0.828666,6.88128,1.92606,1.05506,5.05059,1.62573,-0.347671,7.20479,2.30621,1.63443,4.81274,0.742036,-0.257289,7.33409,0.889246,-0.423059,7.07534,1.28891,1.72025,4.77701,1.02799,1.52675,4.8458,192,3,4.42393,3,4.24296
6.51213,-1.54412,-4.24709,5.21091,-1.78193,-4.32296,4.1694,-1.83374,-4.16978,6.51213,1.59748,-4.48422,5.34566,2.10143,-4.67772,4.10959,1.95447,-4.9278,2.37842,-1.57156,-4.13168,2.0982,1.80231,-4.55095,1.97114,-2.15182,-4.12244,2.06033,2.10944,-5.18709,1.18543,-2.20799,-4.03894,0.79038,-2.06753,-4.23062,1.07733,2.14406,-5.06849,0.984354,2.07155,-5.30133,83,6,6.57176,8,6.51172
7.1311,-1.87657,1.02393,4.67129,-1.47153,1.36585,5.52988,-1.67555,1.41884,7.1311,1.26502,-0.0746155,7.19229,1.14827,-0.0598282,2.92295,1.11243,-0.124661,0.557989,-0.789483,1.40642,1.07469,1.80527,-0.247172,5.19498,-1.75884,1.38136,2.20558,0.795956,-0.0439549,2.22244,-1.72632,1.34914,2.9746,-1.78314,1.40426,1.15018,0.878885,-0.0582482,1.06363,0.70626,-0.0281484,344,8,6.72749,11,8.22825
7.84232,-0.500507,2.10958,7.9457,-0.692535,2.06594,6.04574,-0.705891,2.23786,7.84232,2.64109,1.02216,8.26318,2.74618,1.10447,5.91524,2.70699,1.06722,3.59744,-0.571103,2.27172,1.44551,2.25389,0.912499,2.52759,-0.898335,2.15494,4.65876,2.84323,1.08042,1.54111,-0.82974,2.12137,0.995729,-1.00462,2.19618,2.91478,2.84933,1.07267,1.74413,2.83305,1.0932,188,7,7.91646,6,8.41151
5.91308,-1.92202,3.27736,6.74601,-2.22761,3.47554,6.91907,-2.35977,3.55088,5.91308,1.21958,1.38464,4.71414,1.61215,1.71517,3.34455,1.61485,1.57715,1.31665,-1.89351,3.6069,0.325892,1.8375,2.72444,5.77339,-2.46247,3.50724,3.02756,1.59108,1.32232,2.21235,-2.43933,3.50273,3.56199,-2.47684,3.50976,1.75686,1.63326,1.26665,1.27442,1.53292,1.39251,363,10,12.6357,11,4.51178
10.1744,2.05201,-2.52747,9.64046,1.77932,-2.58402,5.89392,1.71331,-2.55373,10.1744,-1.08958,-2.85238,11.5133,-0.945534,-2.63058,7.88189,-0.950716,-2.68652,4.20607,1.71813,-2.57416,2.79723,-0.742723,-2.80512,1.68802,1.7013,-2.50084,5.17727,-1.06252,-2.59694,1.06141,1.66871,-2.48043,0.628127,1.75638,-2.53212,2.29859,-1.02965,-2.63606,2.88091,-1.08874,-2.56382,105,6,8.02052,5,9.47347
8.02655,1.84252,-1.66119,7.75528,1.78127,-1.44858,5.24334,1.73361,-1.66691,8.02655,-1.29907,-1.79144,2.42349,-1.56013,-2.46369,3.87124,-1.55763,-2.37049,0.487731,2.00499,-0.7969,2.17499,-1.28189,-2.37853,4.77525,1.70623,-1.72373,1.8744,-1.87905,-2.26217,2.3661,1.68252,-1.67425,2.41046,1.7295,-1.76968,0.817215,-1.75064,-2.29926,1.06905,-1.9771,-2.22164,550,16,11.4944,8,7.48289
4.15761,-2.30239,-3.74048,4.17196,-2.33249,-4.40326,3.21667,-2.17251,-4.58265,4.15761,0.839201,-4.98938,3.42786,1.22058,-5.1111,3.35664,1.09685,-5.13119,2.16523,-2.1356,-4.64689,1.03912,1.63928,-5.39575,1.05594,-2.24826,-4.43145,2.52432,0.882726,-4.89979,0.42967,-2.14654,-4.68362,0.630007,-2.31757,-4.2064,0.973151,0.86746,-4.99294,1.55136,0.892302,-4.83646,193,9,5.86987,7,6.17572
5.28485,0.857286,1.0428,3.76312,1.20659,1.46359,4.04754,1.27634,1.52281,5.28485,-2.28431,-0.00964898,4.00105,-3.01537,-0.343016,4.47027,-2.88426,-0.462303,2.85371,1.34836,1.538,1.27293,-2.42203,-0.13351,1.21866,1.10703,1.46709,3.37894,-3.05306,-0.554359,0.758201,1.13239,1.5109,0.4611,1.06533,1.38975,1.49537,-3.02047,-0.497283,1.88499,-3.07892,-0.598133,351,12,7.46042,10,9.27998
4.12288,-1.73649,-3.05245,4.39815,-1.3243,-2.85581,3.32175,-1.26189,-3.36896,4.12288,1.40511,-2.39183,4.87141,1.14225,-2.72336,5.01074,1.20991,-2.69889,0.288566,-2.20182,-2.26695,0.691838,1.80691,-2.15014,3.16014,-1.18809,-3.38979,4.45558,1.12251,-2.73368,1.33912,-1.23592,-3.46197,1.82368,-1.15297,-3.33173,1.70543,1.1026,-2.69444,2.7507,1.13486,-2.75707,139,6,5.28117,5,5.20455
21.6318,-1.83942,1.25102,21.5772,-1.72168,1.30805,17.1868,-1.71722,1.29055,21.6318,1.30217,0.255391,14.3764,1.09906,0.0718921,16.8187,1.11057,0.0182008,3.27527,-1.55219,1.19315,7.38496,1.08096,0.108046,13.9664,-1.75575,1.30894,9.43947,1.13373,-0.0522394,5.78954,-1.74003,1.3133,8.17808,-1.76688,1.30572,4.50754,1.11484,-0.0341532,4.93348,1.15099,-0.068733,142,9,21.4335,4,17.4703
5.89286,-0.326561,1.1301,6.46422,-0.58847,1.24494,4.46466,-0.377292,1.27062,5.89286,2.81503,2.69078,4.60381,3.13066,2.52959,3.21819,-3.09805,2.73707,3.29433,-0.451198,1.17329,0.193581,0.604544,2.81596,1.20415,-0.173883,1.48162,3.38367,-3.0676,2.62069,0.445923,-0.0589607,1.70363,0.762882,-0.24096,1.32132,2.00844,-3.03483,2.57943,1.37788,-3.11538,2.67617,259,10,11.3299,5,4.08695
5.99971,2.14968,-0.5853,8.24241,2.41351,-0.893565,8.41767,2.4298,-0.841553,5.99971,-0.991912,-2.24843,3.72628,-1.23126,-2.63202,3.15014,-1.49679,-2.59368,1.99541,2.76239,-0.862387,0.69082,-0.511055,-2.3672,6.56402,2.33039,-0.82019,2.8279,-1.70188,-2.51109,2.70569,2.36264,-0.831682,3.86072,2.30779,-0.811662,1.07795,-1.64479,-2.53027,1.75278,-1.73698,-2.49749,205,6,9.13309,8,4.09455
4.06985,2.14733,-0.383904,3.75217,2.33448,-0.376174,2.93528,2.35753,-0.398987,4.06985,-0.994266,-0.19958,4.24556,-1.07993,-0.378686,3.26581,-1.21095,-0.402387,0.285765,1.79809,1.0052,1.23832,-1.05196,0.1809,2.69735,2.41378,-0.543929,2.05249,-1.30661,-0.707018,1.47962,2.37579,-0.604846,1.22009,2.45987,-0.466522,1.27153,-1.29618,-0.710353,0.781143,-1.32359,-0.701434,194,6,4.30206,9,5.93363
4.25856,0.637641,5.5712,4.0765,0.607,5.52151,2.69354,0.636222,5.48593,4.25856,-2.50395,6.85912,4.19005,-2.66078,6.90111,2.41244,-2.63208,6.88828,0.417485,1.18029,6.39276,1.86721,-2.77529,6.49705,2.34631,0.54399,5.1397,0.624109,-2.19091,7.4993,1.41761,0.483504,5.11568,0.935222,0.635747,5.16829,0.400126,-1.91943,7.27755,0.261648,-2.61344,7.64788,235,3,2.81856,3,2.25253
5.46398,-1.15651,3.09187,5.41805,-0.919439,3.07751,3.92077,-0.964208,3.11794,5.46398,1.98509,3.74655,6.07206,1.83497,3.91032,5.40011,1.78335,4.01243,1.6707,-0.960371,2.60184,0.21782,0.417942,3.63301,2.25009,-0.967057,3.3802,5.35993,1.82315,3.99193,0.984107,-0.949219,3.29128,1.26626,-0.980919,3.44403,3.33507,1.82847,3.99163,2.02498,1.81439,3.99237,163,4,4.5673,4,5.8807
4.40539,-1.19534,-5.89564,4.37879,-0.911504,-5.92163,4.09425,-0.929148,-5.91996,4.40539,1.94625,-4.24714,4.1563,2.30242,-4.19479,2.78176,2.37677,-4.20698,2.90165,-1.05059,-5.87458,1.10771,2.94143,-3.67058,1.26383,-0.647304,-5.96445,1.93883,2.06606,-4.30294,0.518451,-0.467961,-5.96871,0.759345,-0.769401,-5.94292,0.727734,2.13101,-4.31837,1.21355,2.02713,-4.29153,288,11,6.67139,16,7.9131
9.35869,-1.29219,0.930446,4.1546,-1.20955,2.17245,2.2413,-0.252078,-6.01944,9.35869,1.84941,3.42034,14.1307,2.33749,2.873,10.5175,2.34247,2.87991,1.38245,-0.52693,-5.38194,1.76084,2.02868,2.98914,0.985006,0.138706,-6.44701,8.85935,2.40386,2.84485,0.529521,0.317702,-6.50342,0.473428,-0.0617719,-6.33853,3.82877,2.38616,2.86697,5.03164,2.41734,2.82748,549,10,5.24579,15,15.7394
4.01486,-2.79119,-3.6378,5.25261,-2.08625,-3.36628,2.64815,-1.93127,-3.46331,4.01486,0.350407,-1.0043,2.9162,0.739182,-0.385566,1.83712,0.811734,-0.468609,0.16296,-1.05145,-5.04681,0.323516,-1.42346,-0.872272,2.54739,-1.98059,-3.14616,2.05246,0.936151,-0.275851,1.07588,-2.0559,-3.19831,1.47678,-1.92575,-3.10269,0.756581,0.913832,-0.307619,1.29617,0.949178,-0.257117,394,11,5.99409,6,2.85306
4.98682,2.24515,6.11651,6.28438,2.37622,5.8957,5.12321,2.39341,5.9639,4.98682,-0.896439,4.44405,4.90123,-1.17244,4.51106,3.13824,-1.30439,4.59264,0.945832,2.95548,5.58401,1.88465,-0.963723,4.46172,4.35218,2.27733,5.99202,1.50043,-1.73749,4.58225,1.82626,2.2849,6.05975,2.52601,2.27186,5.93999,0.755388,-1.57579,4.58421,0.764631,-1.89722,4.55432,96,4,5.41568,6,4.51838
5.68341,1.96089,0.938353,5.01047,2.22317,1.08227,4.78488,2.1058,1.2988,5.68341,-1.1807,3.20342,2.77843,-1.33575,3.73411,1.73106,-0.645344,4.03667,1.90606,2.48664,1.20139,0.531836,0.837929,3.95831,3.0975,1.87503,1.29551,1.76592,-0.950052,3.6829,1.63149,1.84355,1.35691,1.46772,1.91003,1.22215,1.00196,-1.06382,3.64254,0.778791,-0.80347,3.71427,231,7,8.28695,9,6.56084
6.9666,-1.13417,-0.350635,3.84807,-0.821314,-1.16445,1.33047,-0.494335,-1.29593,6.9666,2.00742,-0.383139,11.593,1.75102,-0.441493,6.703,1.81787,-0.471601,0.458262,-0.899683,-2.04293,0.795177,2.28644,-0.0179184,0.927126,-0.298165,-0.526853,6.00428,1.75803,-0.520078,0.35402,-0.449848,-0.785505,0.579644,-0.205747,-0.344718,2.72945,1.77527,-0.482852,3.27557,1.74366,-0.550494,251,4,0.518698,11,10.627
7.74228,1.27041,-3.7122,11.8803,1.57326,-3.42567,9.27811,1.55558,-3.50839,7.74228,-1.87118,-3.02189,5.49126,-2.46505,-2.61,2.67252,-2.35013,-2.6598,6.06432,1.48096,-3.4991,0.847525,-2.91352,-3.03835,3.26215,1.69462,-3.51076,2.00767,-2.12273,-2.3264,1.78192,1.64359,-3.54073,1.48532,1.75585,-3.47003,0.863497,-2.13116,-2.46225,1.14423,-2.11636,-2.21031,176,8,12.8772,6,5.14824
8.15308,-1.08943,2.61236,8.52655,-1.07354,2.63801,4.00637,-0.956697,2.92916,8.15308,2.05216,1.79076,5.23423,2.14784,1.54076,5.22627,2.17659,1.59512,2.02908,-1.29247,2.89676,3.02439,2.0775,1.36426,2.1949,-0.647174,2.85757,2.23682,2.31074,1.83373,1.07759,-0.543809,2.80455,1.12855,-0.745855,2.89623,1.15434,2.26639,1.91652,1.08482,2.35793,1.7356,247,7,7.90034,10,7.18693
5.50752,-0.14937,-0.41326,4.26777,-0.359044,-0.537968,1.94607,0.00896121,-0.657487,5.50752,2.99222,1.50568,6.69477,2.93442,1.38832,3.40368,2.98906,1.27317,1.09059,-0.00322961,-1.05493,2.61626,2.92118,1.18959,0.855673,0.0244991,0.00276334,0.813051,-3.07409,1.48504,0.367502,0.0761531,-0.29261,0.489029,-0.014311,0.225953,0.52175,3.06998,1.45794,0.305045,-2.83463,1.49016,369,8,3.91198,10,6.93836
6.78849,1.3762,4.37073,6.14655,0.874084,4.46729,5.32749,1.03953,4.52111,6.78849,-1.76539,0.423131,7.00631,-1.78314,0.541205,3.59164,-1.77672,0.654124,0.522033,0.168588,4.18653,2.52801,-1.64333,0.480374,5.0072,1.11937,4.51042,1.13693,-2.07691,0.955238,2.12991,1.07118,4.5404,2.88159,1.15498,4.48613,0.414016,-2.23419,1.14784,0.730906,-1.98806,0.823451,161,3,5.72063,10,6.08151
5.93038,-2.16047,-1.30067,6.4181,-1.56992,-1.11986,4.53277,-1.55968,-1.00991,5.93038,0.981119,-0.0686265,5.44237,0.576881,-0.5623,3.44626,0.494836,-0.716769,3.38595,-1.61584,-0.919829,2.49294,0.618835,-0.729636,1.16772,-1.3962,-1.22861,1.02017,0.187799,-0.643313,0.705026,-1.49429,-1.24506,0.471173,-1.24915,-1.18798,0.50941,0.433325,-0.639361,0.540415,-0.0433765,-0.6157,357,11,10.1683,12,10.7933
5.5823,2.57145,4.67486,9.13362,2.34732,4.42709,6.70942,2.33391,4.48704,5.5823,-0.570147,1.7332,7.46031,-1.04432,1.98795,5.38205,-1.17607,2.10063,3.57158,2.15206,4.44399,1.08568,-0.715619,2.39871,3.26133,2.53328,4.49529,4.43576,-1.28504,1.97852,1.44923,2.45368,4.52724,1.82034,2.59662,4.46444,1.78891,-1.26996,2.03009,2.64719,-1.29524,1.94203,447,13,10.4424,13,8.87667
4.36533,1.0365,1.86488,4.01187,0.626825,2.41035,3.31166,0.668651,2.55885,4.36533,-2.10509,0.610162,4.2665,-2.2004,0.482474,3.77549,-1.9056,0.292605,1.11045,1.1944,2.04847,2.3092,-2.1323,0.38345,2.41632,0.43592,2.65099,1.61126,-1.57762,0.131959,1.07438,0.541929,2.67916,1.35276,0.351784,2.6199,0.584336,-1.51949,0.16779,1.02848,-1.61064,0.111326,85,5,4.46966,7,6.8407
9.60206,2.03738,2.17643,9.96688,1.75992,1.99751,8.81191,1.76575,2.00108,9.60206,-1.10421,0.856072,7.79221,-0.409113,0.48764,6.26055,-0.321667,0.493516,2.8014,1.53951,1.86689,4.26329,-0.302133,0.380794,6.11427,1.8687,2.0416,1.99981,-0.363319,0.71454,3.40735,1.90185,2.04011,2.71115,1.82705,2.04197,0.769383,-0.418833,0.8248,1.23235,-0.328672,0.640665,112,6,10.6162,5,7.93602
4.1187,2.22575,3.32439,3.76576,2.83375,3.45246,2.73752,2.74024,3.6716,4.1187,-0.915842,1.95271,4.3984,-0.427973,1.71593,2.91172,-0.440664,1.84268,1.13611,2.17038,3.78109,0.810934,-1.1873,2.10446,1.88347,3.07172,3.42403,2.38108,-0.207241,1.60454,0.706798,3.02225,3.54768,1.17806,3.10138,3.34051,1.07002,-0.318543,1.64619,1.32303,-0.117288,1.56099,126,4,3.49562,6,2.79832
5.37363,-0.453225,-0.522496,6.33963,-0.822522,-0.435358,4.64939,-0.737049,-0.437238,5.37363,2.68837,-0.103692,4.72816,2.96482,-0.224087,3.28546,2.87233,-0.324168,3.53874,-0.733678,-0.39901,1.87116,2.95746,0.0391797,1.11074,-0.74779,-0.554945,1.42995,2.76082,-0.739839,0.720841,-0.786885,-0.568012,0.391461,-0.675757,-0.528616,0.591733,2.69049,-0.918317,0.840712,2.81031,-0.598817,166,7,5.25696,6,4.14407
4.30385,-3.04604,3.10016,5.46511,-2.90005,2.83921,4.89266,-2.8232,2.7933,4.30385,0.0955564,1.88578,1.23359,-0.878819,2.0683,1.44639,-0.872367,2.36837,2.57167,-2.71443,2.95019,0.76046,-0.176838,1.24578,2.35282,-2.94214,2.57163,0.990703,-1.3866,2.57146,0.926658,-2.96478,2.65647,1.42655,-2.92744,2.51216,0.467019,-1.12862,2.59399,0.552149,-1.60411,2.49869,91,3,4.92488,2,0.850741
5.67853,-2.5933,-2.6305,5.83904,-2.98413,-2.62658,2.59925,-2.93575,-2.85294,5.67853,0.548293,-1.7774,6.66445,0.833559,-2.00213,5.06765,0.851329,-1.93215,1.73215,-2.68659,-2.42191,3.61311,0.928189,-1.91816,1.01485,2.91301,-3.22766,1.49124,0.6642,-1.94219,0.414859,2.89604,-3.4876,0.600091,2.92475,-2.99795,0.738511,0.557958,-1.8247,0.760933,0.767299,-2.03539,118,4,3.42477,4,5.57953
7.66461,1.2874,-3.76421,6.88426,1.08442,-3.70359,3.22797,1.0889,-3.84604,7.66461,-1.85419,-3.25025,8.7358,-1.66148,-3.1354,5.79682,-1.73457,-3.15769,1.12416,1.75598,-3.73006,1.72322,-1.79185,-2.71889,2.44577,0.800554,-3.75245,4.07762,-1.71037,-3.29684,1.11695,0.888846,-3.73498,1.33681,0.726812,-3.76091,1.5219,-1.71744,-3.26966,2.55578,-1.70616,-3.31266,117,6,6.2382,7,8.96846
9.39981,1.42179,2.11346,6.27539,0.74554,2.21929,7.93895,0.746833,2.22891,9.39981,-1.7198,2.23828,4.79874,-1.32881,2.5391,1.90282,0.803311,-0.539894,3.67473,0.633155,2.05251,1.51125,0.523464,-0.258514,4.30815,0.843739,2.34976,0.614053,1.55077,-0.958489,1.86125,0.857169,2.29685,2.44719,0.833525,2.38812,0.362358,1.19086,-0.810053,0.303089,1.98538,-1.00005,347,7,8.96304,11,6.62518
7.59252,2.20987,1.88234,3.57371,1.78215,2.05684,4.32906,1.74099,1.71857,7.59252,-0.931718,-0.105309,9.63779,-0.131083,-0.0441196,6.26151,-0.13709,-0.0540777,2.33063,1.9719,1.47237,1.71495,0.0311826,-0.411884,2.12821,1.48767,1.88813,4.5798,-0.199846,0.0845601,1.25411,1.41502,1.89728,0.882124,1.59103,1.86615,2.19025,-0.181432,0.047976,2.39026,-0.216719,0.11796,118,12,8.31728,7,9.00878
6.19527,-1.04405,2.81195,4.60624,-1.56802,2.73837,3.33168,-1.69603,2.88348,6.19527,2.09754,5.04339,8.09056,2.12689,4.79717,3.9568,2.0341,4.98141,1.20571,-1.6883,3.29849,0.734458,2.13449,4.12596,2.12603,-1.70042,2.53951,3.22688,2.01129,5.10314,1.13834,-1.67983,2.61937,0.988211,-1.72414,2.43838,1.29105,1.94921,5.08092,1.93998,2.05258,5.11555,401,11,4.70065,9,7.00809
6.41635,-0.241586,-3.58927,5.06393,0.168336,-3.50206,3.77994,0.0819355,-3.5634,6.41635,2.90001,-4.13258,6.22922,2.84652,-4.1381,3.60847,2.80374,-4.18294,0.23753,1.38755,-2.70913,2.43326,2.78654,-3.86156,3.72475,0.0203552,-3.55113,1.17631,2.83931,-4.63256,1.97257,-0.0311729,-3.50639,1.75774,0.0781877,-3.59605,0.561883,3.00155,-4.75804,0.628397,2.69438,-4.47969,128,4,5.23857,8,5.87809
7.50136,-0.958031,0.724453,6.65486,-1.12722,0.122586,4.59722,-1.1875,0.234004,7.50136,2.18356,0.20119,9.0614,2.42736,0.588292,4.71248,2.20395,0.691219,0.401624,-1.07322,1.25829,0.868943,2.26994,-0.0204254,4.19847,-1.19841,0.103646,3.84586,2.18904,0.824151,2.55915,-1.19516,0.0885984,1.63935,-1.20347,0.127085,2.02002,2.21054,0.865984,1.82682,2.16527,0.776098,182,10,6.96449,5,10.4306
4.24159,0.707252,2.74734,3.34833,1.66357,2.98847,1.40228,1.69649,2.83321,4.24159,-2.43434,0.541497,5.64393,-2.79227,0.659738,4.68538,-2.83262,0.70161,0.508006,-2.98351,1.87244,2.29999,-2.9115,0.934871,1.50685,1.35281,2.61721,2.3994,-2.75701,0.438566,0.605045,1.48591,2.688,0.910706,1.26452,2.55708,1.31192,-2.76885,0.344984,1.08769,-2.74274,0.546723,663,21,8.89523,16,9.6128
4.0081,-0.206695,0.602099,4.93689,-0.830072,0.799044,4.40102,-0.864765,0.817921,4.0081,2.9349,3.58431,4.14505,2.70918,3.29365,3.19185,2.63742,3.29889,3.30398,-0.854227,0.717136,2.24914,2.4435,3.2031,1.09777,-0.896487,1.08388,1.07603,3.052,3.36413,0.56727,-0.691685,0.920009,0.554491,-1.10608,1.20122,0.447171,-2.98481,3.49479,0.65155,2.88382,3.22428,189,5,4.98209,4,3.82377
