cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
3.29161,0.820467,3.99561,3.90134,3.59484,0.5835,3.85628,3.77611,2.79308,0.697963,4.01281,3.75658,3.29161,-2.32113,3.93866,3.8444,2.01767,-1.70186,4.06617,3.84634,1.75672,-1.81951,4.70706,4.21168,0.692824,-0.149919,4.26157,3.74108,0.960227,-2.7213,4.31375,3.97878,2.39184,0.91692,3.78515,3.76398,1.38409,-1.24406,4.48534,4.42458,0.272553,0.978389,3.61539,3.49913,2.11986,0.909022,3.80476,3.80259,0.88594,-1.35853,4.62278,4.61052,0.514012,-1.04589,4.1502,4.11465,149,5,2.7892,2,1.62238
1.08497,-2.29617,3.74673,3.21348,0.982465,-0.965821,3.09469,2.49779,1.13584,-1.15003,3.32322,2.51852,1.08497,0.845422,5.48714,4.95286,2.55283,0.9359,4.27233,4.1241,1.95974,0.829991,4.61653,4.18707,0.538959,-1.67717,3.91043,3.21467,2.22604,0.746128,4.2967,4.21496,0.722826,-0.76553,1.87112,1.68795,0.318711,-2.93655,4.69046,4.07327,0.688077,-0.856557,1.80552,1.78644,0.0729779,0.264027,1.96665,1.26128,0.293333,-2.47511,4.57524,4.47323,0.142126,2.18128,3.78262,3.44553,71,0,0,3,3.10865
2.15185,3.00858,4.99538,4.79738,3.7652,2.28287,4.7854,4.68612,2.57017,2.60623,4.81427,4.52281,2.15185,-0.133016,6.69064,6.49263,1.89874,0.89739,6.74599,6.50351,0.969316,0.937019,7.3682,6.42739,2.55256,2.78764,4.50893,4.44558,1.22059,1.65097,6.63509,6.40294,0.464354,1.16391,5.20932,4.827,0.800646,-0.575272,6.63062,6.46732,0.458155,0.957006,4.67916,4.6348,0.095465,2.56663,5.9222,5.35051,0.622378,-0.755161,6.28591,6.26138,0.218772,-0.0412433,7.12798,6.95724,313,7,4.41166,0,0
3.82092,-1.83901,2.00941,1.94045,4.45375,-1.46068,1.96424,1.9127,3.06826,-1.36472,1.85973,1.65178,3.82092,1.30259,1.58503,1.51952,3.24825,0.669509,1.27413,1.19262,2.37877,0.649996,1.7088,1.40977,2.77185,-1.60154,1.70097,1.65041,1.91977,0.938368,1.22869,1.13996,0.750091,-0.315565,1.8277,1.65626,0.766693,-0.142498,2.1818,2.01128,0.554357,-0.103805,1.43669,1.40933,0.238513,-0.825942,2.29554,2.15172,0.387225,-0.635868,1.85016,1.79221,0.463473,0.264314,2.24038,2.19799,82,4,4.80632,4,3.53907
3.17277,1.54132,4.52011,4.41928,3.70392,1.50322,4.16752,4.09163,3.80438,1.47445,4.07143,3.91734,3.17277,-1.60027,4.3041,4.20328,2.25356,-1.53526,5.61791,5.43452,2.84325,-1.77101,5.57834,5.32896,2.15376,1.07211,3.91408,3.82727,2.68396,-1.85375,5.21029,5.15264,2.00825,1.90782,4.04935,4.01958,0.278536,-0.849768,6.84218,6.12563,1.25311,1.75503,4.06824,4.06208,0.793014,2.1507,3.96829,3.95305,0.0987569,-2.25802,7.44928,6.90042,0.280058,-0.49435,5.78505,5.67413,217,8,5.57763,3,3.06884
1.30783,-0.0265723,3.00051,2.58394,1.22748,-0.767147,2.92079,2.46828,0.690151,-0.926796,4.58957,3.34925,1.30783,3.11502,0.982645,0.697006,2.11976,2.79007,1.11219,0.955027,2.29822,2.68619,1.65537,1.34455,1.02068,0.0698316,3.62303,3.31738,1.34678,-2.91076,1.48212,1.30732,0.867697,-2.34046,3.53532,3.39343,1.51873,2.08951,1.42797,1.38278,0.798372,-2.21553,3.37456,3.35954,0.124918,3.02141,3.94419,3.53956,0.692543,1.87597,1.60105,1.58273,0.85461,2.26211,1.23035,1.21928,189,8,1.43462,4,1.86525
4.75989,3.103,-3.73188,-3.6846,4.80655,-2.79337,-4.26122,-4.21478,4.95645,-2.71924,-4.17291,-4.07649,4.75989,-0.0385954,-5.64917,-5.60183,3.88875,-0.104057,-5.61638,-5.54703,4.25116,-0.243336,-5.78423,-5.65719,4.09758,-2.58992,-3.99768,-3.97214,1.41088,-0.69764,-5.6549,-5.4718,1.03769,3.02967,-4.55307,-4.4496,3.04695,-0.0387085,-5.77251,-5.75935,0.530754,-2.94243,-4.7115,-4.67807,0.556649,2.73351,-4.26143,-4.23096,0.273635,-0.183371,-5.90769,-5.79207,2.77646,-0.0245004,-5.757,-5.75573,308,7,5.69509,5,9.27745
4.98343,-0.421844,2.91201,2.86892,5.46987,-0.244238,2.89774,2.86171,3.64863,-0.33445,2.93603,2.77151,4.98343,2.71975,4.77968,4.73632,3.39734,2.73909,5.15074,5.06169,2.77261,2.68546,5.51258,5.25318,1.88225,-0.0832464,3.22147,3.1109,2.59253,2.46391,5.39792,5.33638,1.88446,-0.585352,2.43956,2.40639,0.619519,-2.43078,5.21694,4.96804,0.465236,-0.233998,2.47276,2.43031,1.45648,-0.695512,2.40294,2.39845,0.261768,3.08518,5.29497,5.16988,0.467819,-2.03187,4.88749,4.84487,123,6,5.77841,3,2.89534
5.50517,0.969922,-1.22797,-1.19798,4.87971,0.552662,-1.18205,-1.14494,3.81931,0.649919,-1.37226,-1.24011,5.50517,-2.17167,-0.328182,-0.317016,4.74845,-2.85154,-0.420348,-0.401831,3.53114,-2.52631,-0.319716,-0.269683,2.98213,0.783123,-1.49082,-1.44837,0.44048,-2.4106,-0.0954099,-0.0405958,0.950083,0.219924,-0.734528,-0.661485,3.09402,-2.54275,-0.35032,-0.346045,0.514507,-0.0901602,-0.428382,-0.414251,0.486161,0.548749,-0.950824,-0.921779,0.547744,-2.33578,-0.471132,-0.457495,2.56045,-2.58672,-0.321891,-0.32143,346,4,4.52325,11,7.78254
4.70799,-1.1803,-4.46609,-4.41777,4.03043,-1.1863,-4.47855,-4.41371,1.78282,-1.12566,-4.48572,-3.99963,4.70799,1.9613,-4.72655,-4.67821,4.83389,1.95686,-4.72042,-4.67446,3.85038,2.01377,-4.97724,-4.82623,1.55687,-0.668632,-4.39311,-4.23825,1.54203,1.54279,-5.16828,-5.01081,0.787892,-2.18486,-3.71311,-3.54551,2.5732,2.28916,-4.71708,-4.69873,0.632602,-2.06106,-3.78974,-3.766,0.178168,-2.63872,-3.18409,-2.94589,0.782903,2.05989,-4.75123,-4.73559,1.8195,2.38711,-4.6856,-4.68266,106,6,3.83036,4,4.92707
1.43477,-3.05987,-6.17588,-5.80659,1.99595,3.00351,-5.89703,-5.67316,1.84245,2.8822,-5.74129,-5.27521,1.43477,0.0817218,-5.52768,-5.1584,1.2938,0.643864,-5.12744,-4.63695,1.41333,0.16778,-5.00876,-4.36602,0.784526,1.81361,-5.85822,-5.41421,1.37401,-0.467943,-4.46151,-4.2702,1.61818,-2.96208,-5.21981,-5.17464,0.871943,1.37787,-4.66534,-4.5244,0.42543,-2.61412,-5.04103,-4.98993,1.22686,-3.08059,-5.24837,-5.24194,0.74769,1.44184,-4.37343,-4.35631,0.13456,1.01467,-5.51131,-5.14614,217,0,0,2,0.162715
0.272538,-1.41747,5.55021,3.82898,0.781824,-1.17255,-9.43853,-8.52455,0.483285,-1.89951,-9.64606,-8.07005,0.272538,1.72413,7.12728,5.40562,0.469144,-2.36025,6.80319,5.38266,0.275614,1.34315,7.89721,5.77425,0.874479,-1.48739,-8.91124,-8.52822,0.965447,1.8499,6.3072,5.9747,0.473079,2.07578,-7.64402,-7.27153,0.736715,-1.10911,5.66115,5.47324,0.459192,2.29756,-7.12205,-7.07787,0.104086,0.74887,-8.3002,-7.78574,0.279729,-1.23839,6.177,6.06585,0.460734,-1.03075,5.11991,5.07602,141,0,0,1,0.106357
0.88324,2.81072,-8.43842,-7.75996,0.810967,2.73469,-8.36094,-7.61773,0.50999,-3.03586,-9.25599,-7.73135,0.88324,-0.330869,-6.37733,-5.69888,1.32367,-0.239923,-6.04541,-5.59131,1.50284,-0.0747287,-5.79986,-5.20069,1.16486,-3.13331,-7.88126,-7.63123,0.9251,0.747685,-5.9398,-5.58611,0.659156,-0.0670656,-8.13748,-7.91197,1.10558,-0.734793,-4.87579,-4.78356,0.238732,0.601607,-8.46294,-8.31594,0.494503,-0.371016,-7.72873,-7.69041,0.63845,-0.412039,-4.85402,-4.83068,0.539538,-1.11954,-4.7607,-4.72832,80,0,0,0,0
0.951988,-2.56908,-1.33152,-0.841089,1.74593,-1.67941,-8.76677,-8.49037,1.10274,-1.4628,-8.75803,-7.92426,0.951988,0.572512,0.76903,0.439623,1.87211,0.223284,-0.184735,-0.144485,1.49817,0.182755,0.183866,0.101166,1.11824,-0.770273,-7.8856,-7.6191,0.449116,1.44301,1.10346,0.550873,0.753904,-2.70668,-8.587,-8.40619,1.42653,-0.121699,-0.226197,-0.21377,0.156612,3.03286,-9.30023,-9.00795,0.625142,-2.57672,-8.22281,-8.19849,0.862373,0.104918,-0.281292,-0.277769,0.617403,-0.440923,-0.128648,-0.125498,90,1,0.193479,3,1.6135
0.701281,2.4234,-2.44187,-1.61545,1.09103,3.10756,-9.14717,-8.61651,1.11186,-3.00782,-8.81386,-7.98676,0.701281,-0.718194,1.46937,0.787681,0.991057,-2.15412,1.22629,0.777798,1.14429,-1.952,2.0501,1.30569,1.23274,-2.26389,-8.20862,-7.98013,0.695824,2.83167,1.79284,1.32061,0.859541,1.94515,-8.14163,-7.99711,1.29622,-1.38696,1.35276,1.29314,0.497688,2.34582,-7.905,-7.86715,0.445758,1.49458,-8.1876,-8.14084,1.17942,-1.39442,1.23332,1.22746,0.117165,-1.31177,2.1319,1.70936,155,0,0,5,0.607446
1.0555,2.73723,4.08167,3.52968,2.30983,-2.91183,3.36082,3.11081,0.847629,2.86136,4.19275,3.1377,1.0555,-0.404367,5.36023,4.80771,1.96877,-0.700811,4.45548,4.22669,2.18838,-0.822578,4.87528,4.50637,0.599896,0.896685,3.87509,3.25749,0.784042,-0.141784,4.50322,4.05902,1.21187,-2.94708,3.11338,3.0358,1.65443,-1.12547,4.87136,4.82806,0.545735,2.98588,2.929,2.89751,0.7239,-2.68545,3.15979,3.14161,0.725749,-1.09934,5.11755,5.09939,0.929126,-1.14587,4.62481,4.61366,136,3,0.566919,3,1.82498
2.52063,-2.53432,-7.21758,-7.066,3.43204,-2.44391,-7.07938,-6.93061,2.61291,-2.37265,-7.12281,-6.83852,2.52063,0.607275,-7.06788,-6.9163,2.53812,0.679463,-7.06714,-6.88096,1.73302,0.961594,-6.99009,-6.48599,0.699882,-1.49096,-7.47201,-6.95769,1.3007,0.284257,-6.88796,-6.67848,2.23418,-2.61685,-6.80168,-6.77748,1.08726,1.80928,-6.32413,-6.22904,2.04593,-2.63652,-6.77592,-6.7736,0.192884,-2.40665,-7.02141,-6.81088,0.32779,1.55985,-6.75885,-6.67555,0.773855,1.91404,-6.03745,-6.02144,317,5,3.05618,5,3.00242
3.98613,0.294776,0.0835479,0.078206,6.19552,0.549571,0.240602,0.233968,1.21009,2.69061,7.28744,6.52767,3.98613,-2.84682,0.729992,0.689572,0.245042,0.0789584,4.5178,2.69728,3.58993,-2.06955,5.42153,5.25129,1.28045,2.03015,6.89436,6.67946,3.21102,-1.93232,5.417,5.37604,0.810315,-2.26978,6.43595,6.27596,0.60027,-2.89051,4.99908,4.73757,0.458394,-2.67989,6.51653,6.4722,0.430641,-1.83147,6.11833,6.06839,0.608376,-2.96275,4.83819,4.81255,0.0443966,-1.17236,5.61642,4.42296,202,0,0,2,3.22733
1.06816,2.84157,1.45731,1.00179,1.91211,2.59537,0.799518,0.65123,2.15674,2.34421,1.21185,0.916663,1.06816,-0.300022,-1.6818,-1.19755,1.65421,-0.617727,-1.12883,-0.899281,1.42644,-0.603984,-0.880112,-0.506435,1.2342,1.86852,0.6182,0.50265,1.51021,-0.24709,-0.294153,-0.250838,1.20089,2.83424,1.47583,1.40503,0.527739,-2.15319,-1.37169,-1.10365,0.903815,2.67992,1.30296,1.29282,0.33771,-3.02498,1.7568,1.68286,0.107484,-1.63977,-2.40452,-1.92383,0.437311,-2.2742,-0.790774,-0.759261,65,1,0.903815,2,1.76467
1.61172,0.359404,-1.31113,-1.05345,0.434559,1.36203,-10.2012,-8.92203,0.504389,0.877102,-9.43654,-7.90137,1.61172,-2.78219,0.464449,0.345431,2.32451,-2.20488,1.50785,1.35271,1.45124,-2.30001,2.42199,1.81701,0.79458,-0.817142,-8.29938,-7.86282,0.551932,2.73183,2.88304,2.21275,0.992202,1.79567,-8.05625,-7.94407,1.38117,-1.91086,1.57597,1.52023,0.647545,2.01336,-8.17413,-8.15142,0.386158,1.42506,-7.67461,-7.61322,0.0860428,-1.90774,2.26492,1.6471,1.29513,-1.91107,1.50945,1.50422,124,0,0,3,1.01839
0.811127,0.71705,-3.1005,-2.3643,1.20296,0.533551,-6.77162,-6.30263,1.16829,-0.105736,-6.72036,-5.93292,0.811127,-2.42454,-1.53448,-0.917673,0.95854,-2.71291,3.54689,2.92989,0.791822,-2.60408,3.50912,2.39944,0.482569,1.57921,-7.05399,-6.27174,0.494021,1.46247,3.47571,2.71534,1.31385,-0.479264,-5.74342,-5.6764,1.15841,-2.25655,2.215,2.13249,1.1895,-0.411492,-5.7056,-5.69876,0.150463,-1.0442,-5.85663,-5.54623,0.951707,-2.12326,2.22184,2.21145,0.24957,-2.78802,2.00015,1.86966,201,1,0.911541,7,2.06869
2.33837,-1.60609,5.18802,5.01571,4.58459,-0.666284,5.05449,4.97765,4.16081,-0.600175,5.19137,5.05944,2.33837,1.5355,6.98497,6.81265,2.21105,1.07038,6.80621,6.61691,1.12808,-0.0282182,6.58635,5.77094,4.11458,-0.605462,5.04742,5.02208,1.41861,-0.245717,6.22023,6.0388,0.051145,-0.160843,7.65012,5.36973,0.399763,2.24117,5.568,5.10009,0.204207,-1.04159,5.23313,5.04149,0.176123,1.87413,5.97339,5.72972,0.0484253,0.173552,6.86014,5.74477,0.424982,2.34151,4.92525,4.87405,351,4,4.77134,4,2.05104
0.689376,-3.02007,-3.96158,-3.09004,0.730743,2.56973,-3.88363,-3.05977,0.758528,2.20045,-4.86322,-3.70818,0.689376,0.121522,-2.59808,-1.74995,1.05495,0.18696,8.87175,8.31884,0.633533,0.630665,8.70559,7.38515,0.583297,-2.25817,-4.00339,-3.36553,0.855346,0.423007,7.24116,6.84618,1.06666,1.64264,-4.12893,-4.03053,0.269229,3.05807,9.18713,8.4445,0.989978,1.71149,-4.01043,-4.0006,0.104323,0.931293,-4.7143,-4.20144,0.0936694,-0.606332,9.40675,8.82203,0.353494,2.92537,8.34679,8.27436,129,3,0.782927,0,0
4.17518,-2.01223,-5.54791,-5.48721,4.61395,-1.75437,-5.70026,-5.65002,4.43954,-1.74137,-5.79403,-5.6764,4.17518,1.12936,-5.36465,-5.30396,4.07696,0.870969,-5.74424,-5.68076,3.17394,0.890523,-5.60832,-5.39932,2.41648,-1.66717,-6.07025,-6.00004,1.4816,0.941007,-5.0994,-4.93081,2.0376,-1.82941,-5.30884,-5.27988,1.69587,0.846422,-5.90574,-5.86445,0.167271,-1.69505,-5.68627,-5.42208,1.87197,-1.84138,-5.26609,-5.26332,0.301022,1.28261,-5.97864,-5.88128,1.42871,0.757287,-5.8653,-5.86056,134,5,4.78923,4,3.90615
