cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
0.16428,-0.976808,4.05071,1.85745,1.22099,-0.0267705,2.4131,1.9649,1.40287,-0.799411,2.10303,1.58667,0.16428,2.16478,6.51674,4.29931,1.72772,0.0426412,4.1588,3.8781,0.987337,0.0853827,5.07418,4.27212,1.29602,-0.896343,1.35741,1.35236,0.847715,-0.445233,3.77178,3.75842,0.168778,0.0383804,3.6694,1.88087,0.499672,1.11784,5.48954,4.66711,0.0942335,-1.43606,3.45189,1.80434,0.185218,0.569398,2.9823,1.95381,0.239871,1.55081,5.63878,4.81108,0.29936,0.774967,5.18693,4.53021,94,0,0,2,0.710361
2.69882,-1.77982,4.39727,4.26271,0.697442,0.185582,4.84183,3.97846,0.150916,-2.94627,6.57626,4.00537,2.69882,1.36178,6.89984,6.76524,2.61447,1.68166,6.71982,6.57754,2.28322,1.64329,6.74429,6.46639,0.248459,0.170188,5.69876,5.56164,0.884495,0.977163,6.95896,6.94666,0.399346,-2.96191,4.44947,3.44426,1.67925,1.97481,6.39731,6.2408,0.126368,-2.8929,5.03158,3.63781,0.273417,-2.99378,3.99282,3.26928,0.982775,1.89947,6.29155,6.17905,0.703165,2.08022,6.52019,6.31982,118,1,0.156562,6,3.46586
1.24204,-0.237187,-2.57015,-2.12876,1.23808,-0.869659,-2.60998,-2.1661,1.26127,-0.866565,-2.48151,-1.88087,1.24204,2.90441,-6.50153,-6.05176,1.46192,2.89746,-6.37791,-6.01831,1.67754,3.00342,-6.12511,-5.69221,0.836838,-0.83251,-2.58635,-2.57279,1.31607,2.72717,-5.97624,-5.97065,0.42587,-0.93352,-2.2331,-1.33584,0.545962,-2.5623,-6.12062,-5.37368,0.213477,-0.658603,-2.4495,-1.56285,0.2279,-1.19063,-1.88926,-1.11124,0.262576,-2.20483,-6.00728,-5.2514,0.313741,-2.8595,-6.11353,-5.4906,55,4,1.34059,1,1.31607
3.32262,-2.54115,2.78509,2.69312,2.84081,-2.91603,2.71708,2.59532,2.06419,-2.91875,3.23707,2.91506,3.32262,0.600441,1.87919,1.79106,4.063,0.986168,1.81943,1.75902,3.48629,1.19593,1.75312,1.62392,1.25009,-2.57828,3.30738,3.3012,0.463494,2.43155,1.81243,1.77138,0.979287,2.92407,2.93462,2.56998,3.36244,1.06538,1.64421,1.60353,0.429205,-3.08981,3.02801,2.60966,0.576966,2.72483,2.80782,2.53579,1.81594,0.999572,1.64719,1.61417,1.55502,1.14225,1.63561,1.59126,143,2,1.67929,2,3.37096
1.07432,-3.00067,0.502952,0.300803,1.74537,-2.65977,-0.0970895,-0.0736822,1.23577,-2.94798,0.618957,0.343704,1.07432,0.140926,-1.45803,-1.00531,1.36675,-0.0511277,-1.05203,-0.76871,0.0595755,-2.7324,-5.24543,-1.77624,0.69404,2.17672,-0.0370641,-0.0363369,0.310949,-1.37948,-3.25524,-3.16376,1.14954,-2.36182,0.67794,0.521691,0.303694,1.95484,-2.37943,-1.20768,0.771467,-2.39783,0.650009,0.557542,0.37959,-2.28859,0.731029,0.468977,0.25191,1.75687,-1.74609,-1.05571,0.0753007,2.67295,-3.20384,-1.37619,73,3,1.43082,1,0.0774194
4.14506,-0.0356416,2.55606,2.49532,4.86901,0.218239,2.37921,2.33468,2.59659,0.133887,2.68085,2.45648,4.14506,3.10595,0.880166,0.83737,4.3376,2.72732,0.91644,0.876091,2.94465,2.50675,0.741198,0.631388,1.69768,0.168543,2.14206,2.13879,0.0112455,1.89173,4.87789,2.36487,0.901855,0.0686149,3.26033,2.85047,2.93547,2.50896,0.535882,0.508244,0.422627,0.240677,3.43501,3.00614,0.490832,-0.0793477,3.05231,2.70508,1.37244,2.59658,0.583683,0.552423,1.57289,2.43253,0.490102,0.469155,94,6,4.07272,3,3.13882
1.70326,-2.8457,0.655695,0.506206,2.99041,-2.6433,0.193726,0.173378,2.90245,-2.58964,0.34927,0.290855,1.70326,0.295893,-0.874842,-0.687979,1.46371,-0.149006,-0.697369,-0.505661,1.14724,-0.249823,-1.37235,-0.830478,1.67102,-2.84242,0.579724,0.577911,0.237959,-1.50127,0.782835,0.690239,1.35081,-2.2751,0.00782274,0.00624663,1.09607,-0.0422098,-1.49586,-1.22079,0.717915,-2.18512,-0.136646,-0.112706,0.639066,-2.37622,0.169704,0.134538,0.699132,-0.0410906,-1.50975,-1.32994,0.396942,-0.0441812,-1.47096,-1.07356,74,3,3.028,6,2.08788
6.65951,-3.05662,-0.318539,-0.310998,5.42122,-3.05463,0.0279779,0.026965,4.60662,3.07476,0.270991,0.249653,6.65951,0.0849708,0.0750418,0.073211,3.41346,-0.295404,0.130307,0.119351,2.74077,-0.156802,0.213344,0.173724,0.271091,1.69652,0.752653,0.680431,1.09128,-0.318512,0.77007,0.764833,4.56251,3.13311,0.22598,0.220677,1.67298,-0.0515837,-0.199948,-0.171077,2.05327,3.08171,0.230149,0.223878,2.51416,-3.10811,0.222137,0.21804,0.740535,-0.170353,-0.107181,-0.0892333,0.941757,0.0417241,-0.26984,-0.239605,421,5,6.11427,15,6.48553
0.649119,2.75074,7.95321,7.02978,1.32979,2.36777,7.20704,6.79663,1.32215,2.48346,7.08888,6.5047,0.649119,-0.390854,5.61717,4.6938,1.029,1.68177,5.24551,4.67585,0.539567,0.952811,5.49215,4.16189,0.692357,2.12781,7.35305,7.33314,0.385314,0.27314,2.96564,2.90434,0.714993,2.82737,6.55795,6.00155,0.340873,1.74299,5.89277,4.74476,0.419825,2.63485,6.58091,6.14678,0.313394,3.08659,6.46444,5.84072,0.133212,1.52262,5.86413,4.51915,0.212884,1.88021,5.88589,4.95952,163,4,1.66256,2,0.251404
1.10904,0.612951,4.74502,4.22514,0.809567,1.37359,5.29846,4.554,1.07302,0.772363,5.21318,4.47641,1.10904,-2.52864,3.3528,2.83501,1.42268,-3.09707,3.41538,3.04284,1.37069,2.949,3.30704,2.75018,1.00343,1.12921,4.11663,4.10706,0.770167,-2.31588,3.10055,3.08446,0.374835,-0.436257,5.89052,4.81952,1.16787,2.35298,2.85895,2.57895,0.282389,-0.87142,5.59818,4.89808,0.168156,0.350316,5.86568,4.73387,0.550231,2.18044,2.77067,2.47852,0.632897,2.5028,2.9073,2.67147,68,0,0,1,0.632897
