cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
10.6705,-0.845925,-1.02285,-1.01532,9.72131,-0.745526,-0.888553,-0.880217,8.62778,-0.700644,-0.913903,-0.897487,10.6705,2.29567,-2.98346,-2.97373,2.93606,1.7611,-3.31996,-3.20434,2.71916,1.98118,-3.57788,-3.38549,6.8469,-0.646835,-0.823872,-0.823731,0.932467,2.72247,-2.90185,-2.89084,2.12672,1.68062,-3.63234,-3.60613,1.82826,-0.903448,-1.19045,-1.16138,275,12,17.8712,9,7.71714
2.04257,-0.269847,3.30648,3.09154,1.73104,-0.523203,3.3444,3.06528,1.68243,-0.545187,3.10046,2.70224,2.04257,2.87175,1.9742,1.76859,2.82136,3.01995,2.04758,1.92771,2.31036,2.82991,2.04822,1.80787,0.466912,-2.48283,2.30309,2.26118,1.52114,3.01662,1.32619,1.32255,0.863153,2.49664,2.66093,2.52101,1.90055,-0.313802,2.84747,2.81504,150,2,2.184,2,1.04057
2.06788,1.62368,-2.00288,-1.80078,3.20313,1.31178,-2.25276,-2.15601,2.28585,1.32777,-2.49852,-2.24787,2.06788,-1.51791,-3.7801,-3.56899,2.0851,-1.98137,-3.62761,-3.41943,1.53749,-1.99289,-4.11608,-3.66412,1.89095,1.19655,-1.91464,-1.91203,1.32383,-1.3195,-3.65277,-3.64725,0.966565,-3.01682,-3.80059,-3.68482,0.479858,1.86949,-3.44784,-3.08794,101,3,2.85718,2,0.298982
3.99289,-2.01971,2.29427,2.22968,3.26435,-2.15916,2.33296,2.23914,2.07926,-2.26138,2.33801,2.05024,3.99289,1.12189,0.651581,0.614614,5.45377,1.31671,0.789307,0.765564,4.7537,1.35015,0.831745,0.783918,1.55374,-2.82417,2.08426,2.08037,2.16192,1.0775,1.07345,1.07181,2.73434,1.5647,0.566434,0.558258,1.12814,-1.43596,2.09684,2.01207,408,14,6.62379,12,8.7913
2.42107,1.40568,-3.06129,-2.89969,3.99067,1.84345,-2.76237,-2.69685,3.57139,1.87487,-2.70598,-2.58663,2.42107,-1.73591,-1.21452,-1.08188,1.15108,-1.96941,-1.15131,-0.783636,0.959824,-1.93987,-0.512812,-0.242711,1.39729,2.47153,-2.77658,-2.77165,1.38939,-2.04821,-0.371751,-0.36997,0.4474,0.859276,0.0322241,0.0216413,2.53992,1.56061,-2.50411,-2.48582,381,7,6.18506,10,4.78712
2.26868,-0.325294,0.688206,0.586302,1.93575,-0.485953,0.665304,0.539066,1.47849,-0.587909,0.983915,0.664728,2.26868,2.8163,0.418314,0.351898,2.71825,2.89887,0.497024,0.43906,2.17054,2.78362,0.686524,0.536496,1.30275,-0.860843,1.14765,1.143,1.57467,2.50733,0.952327,0.949431,0.783774,-2.91954,-0.161092,-0.136472,0.416505,0.415157,-0.340463,-0.221982,85,4,2.08328,2,1.6726
1.92622,0.934376,-1.20113,-1.01121,2.00594,0.526517,-1.13297,-0.959937,1.40445,0.723919,-1.54426,-1.10551,1.92622,-2.20722,-1.48078,-1.2724,1.93325,-1.9509,-1.41638,-1.2127,1.3901,-1.69785,-1.29064,-0.884235,0.10213,1.94348,1.43474,0.996211,0.365317,0.945471,-0.139381,-0.130256,1.71989,-1.79954,-1.09551,-1.06411,1.37266,0.654002,-1.62267,-1.56667,78,4,2.19579,2,1.96413
1.80184,2.09556,2.33624,2.07934,1.66296,1.38673,2.32463,2.03459,1.105,1.68056,3.119,2.4507,1.80184,-1.04603,2.20003,1.94507,2.47367,-0.582471,2.38378,2.23029,2.01246,-0.575431,2.29027,1.98893,0.480986,-0.325367,1.74182,1.70389,0.548097,-2.21208,1.96398,1.93381,2.12028,-0.31454,2.02873,2.00326,1.37857,2.00248,2.78686,2.72701,84,4,2.77847,2,2.60127
2.24656,-1.60813,-1.61605,-1.44824,1.64128,-1.98721,-2.47565,-2.17788,1.17805,-1.13824,-2.29337,-1.69051,2.24656,1.53346,-2.47764,-2.29641,3.35876,1.20126,-2.39814,-2.30884,1.99649,0.846581,-2.50806,-2.20012,0.47039,1.81471,-1.7145,-1.67506,0.436387,-0.0542296,-3.39479,-3.34621,1.75908,1.04228,-1.88873,-1.85258,1.64247,-1.19197,-1.73546,-1.69493,106,4,2.46054,5,3.58242
6.84969,0.541442,2.13277,2.11001,9.15404,0.413024,1.94035,1.92765,4.87862,0.509247,2.00938,1.94376,6.84969,-2.60015,1.19652,1.17709,5.09864,-2.29224,0.945881,0.915547,3.05269,-2.2379,0.926745,0.815555,0.232391,1.86654,2.87509,2.72223,0.262383,-0.184555,1.51963,1.40773,3.18294,-2.31098,0.765329,0.757699,4.83472,0.462254,1.90079,1.89583,287,8,13.005,8,5.6923
