cLO_pT,cLO_phi,cLO_eta,cLO_rap,c_pT,c_phi,c_eta,c_rap,chad_pT,chad_phi,chad_eta,chad_rap,cbarLO_pT,cbarLO_phi,cbarLO_eta,cbarLO_rap,cbar_pT,cbar_phi,cbar_eta,cbar_rap,cbarhad_pT,cbarhad_phi,cbarhad_eta,cbarhad_rap,d1_pT,d1_phi,d1_eta,d1_rap,d1bar_pT,d1bar_phi,d1bar_eta,d1bar_rap,d2_pT,d2_phi,d2_eta,d2_rap,d2bar_pT,d2bar_phi,d2bar_eta,d2bar_rap,d3_pT,d3_phi,d3_eta,d3_rap,d3bar_pT,d3bar_phi,d3bar_eta,d3bar_rap,d4_pT,d4_phi,d4_eta,d4_rap,d4bar_pT,d4bar_phi,d4bar_eta,d4bar_rap,multiplicity,chad_cone_mult,chad_ptcone,cbarhad_cone_mult,cbarhad_ptcone
2.22064,-2.47475,4.02979,3.842,1.95848,-2.16342,4.00341,3.77281,1.36294,-1.79961,4.24673,3.68372,2.22064,0.666847,7.11437,6.92643,2.06344,0.47918,7.21935,7.00722,1.88591,0.726586,7.57751,7.20905,0.833124,-2.21382,3.04514,3.03137,1.4086,1.09956,7.06798,7.0631,0.68757,-1.29019,4.72818,4.1479,0.770128,-0.0028901,7.8776,7.37049,0.308227,-1.51903,4.94792,4.31242,0.393638,-1.11161,4.46846,3.99615,0.387687,0.327338,7.80689,7.32501,0.422523,-0.304989,7.84484,7.41442,100,3,0.696951,3,2.03002
2.04332,0.966235,2.73904,2.52574,2.35021,0.519561,2.86407,2.69454,1.74417,0.697212,2.74025,2.33478,2.04332,-2.17536,3.89257,3.67726,2.23373,-2.66529,3.69142,3.50559,1.77292,-2.65118,4.25867,3.85729,0.241536,-2.96997,3.39506,3.25138,1.09009,-1.97042,3.75455,3.74643,1.95686,0.635245,2.31963,2.20234,1.15233,2.99425,4.22548,3.93655,1.19967,0.586633,2.24469,2.16834,0.760846,0.71194,2.42338,2.25096,0.478276,3.06621,4.44863,4.0861,0.676167,2.94338,4.02709,3.81362,110,3,2.17265,1,0.19975
1.45838,1.28633,3.86392,3.50354,3.03894,0.794954,3.61203,3.43571,1.58545,0.97331,3.91676,3.45098,1.45838,-1.85526,3.11272,2.75396,1.4008,-1.21117,2.98308,2.60404,1.37134,-1.05539,2.66321,2.11374,0.447182,1.38553,4.65978,4.61331,0.324988,0.848487,1.21146,1.14154,1.1893,0.822089,3.30595,3.03187,1.50918,-1.26033,2.51694,2.332,0.585081,0.74776,3.45228,3.18417,0.607388,0.893683,3.13523,2.88288,0.589186,-1.12052,2.58471,2.32273,0.929377,-1.34879,2.46102,2.33878,76,1,0.585081,4,1.8233
1.26694,-1.52361,6.00736,5.56927,2.27144,-2.1391,5.4569,5.27594,1.18957,-2.30625,6.35091,5.6916,1.26694,1.61798,5.2086,4.77054,1.17463,2.28583,5.2062,4.72262,0.752694,2.94871,5.0473,4.01799,0.703628,2.84002,6.11286,6.09356,0.111034,-2.18894,2.4453,1.98298,1.09837,-1.68598,5.80296,5.49475,0.714086,2.80659,5.08904,4.53391,0.671882,-1.56147,5.7045,5.48865,0.439682,-1.87692,5.91029,5.50246,0.405234,2.68726,5.16006,4.70514,0.315444,2.96013,4.96637,4.3474,71,3,1.35739,2,0.720679
6.72235,-2.83888,-2.49471,-2.47076,10.6744,-3.08414,-2.80912,-2.79942,8.61061,-3.08898,-2.85423,-2.82893,6.72235,0.302713,-4.16692,-4.14263,1.40275,0.767712,-5.87967,-5.49847,2.3149,0.371482,-5.86277,-5.59071,2.87201,-2.91991,-2.65264,-2.65147,0.779455,-0.115632,-6.30638,-6.2906,5.79973,3.11078,-2.93122,-2.91592,1.66653,0.592195,-5.44758,-5.28811,3.07986,3.0828,-2.96173,-2.94912,2.72244,-3.14075,-2.89457,-2.87849,0.635834,0.470599,-5.53181,-5.29593,1.03826,0.666546,-5.38454,-5.28263,233,7,7.29323,7,5.81609
0.544071,-2.66993,-3.92885,-2.85584,1.02182,2.49582,-3.56605,-2.99328,0.989925,2.63273,-3.20614,-2.41243,0.544071,0.471663,-7.20455,-6.12861,1.19136,0.0603498,-6.40915,-5.93425,1.03887,0.391742,-6.85092,-6.08894,0.884056,2.14541,-1.94359,-1.93178,0.33515,-2.46624,-6.98267,-6.90271,0.46364,-2.54677,-3.67877,-2.80263,1.36386,0.460559,-6.11981,-5.89699,0.26992,-2.68333,-3.33952,-2.60916,0.199643,-2.36166,-3.98588,-3.0069,0.519299,0.310714,-6.26669,-5.94478,0.853908,0.551471,-6.00645,-5.86227,89,1,0.178075,2,0.542485
0.524834,2.46641,-6.50041,-5.39254,0.806106,0.436129,-6.05259,-5.30474,0.576292,0.612467,-7.27658,-6.00706,0.524834,-0.675178,-3.0118,-1.92308,0.644611,-2.81451,-2.15888,-1.29425,0.936603,-1.87555,-2.36802,-1.55961,0.393921,1.09394,-4.81606,-4.75694,0.35671,1.47178,-2.43356,-2.3635,0.291336,-0.0641413,-7.89858,-6.59808,1.28785,-1.81893,-1.56291,-1.35129,0.168278,-0.0334945,-8.00075,-6.86952,0.123245,-0.105992,-7.73794,-6.32,0.562452,-1.87541,-1.68487,-1.42398,0.726992,-1.77525,-1.45599,-1.28938,69,0,0,1,0.562452
2.27053,1.95657,-3.24221,-3.06179,2.00943,1.7268,-4.22396,-3.80283,1.4155,1.75622,-4.27353,-3.73573,2.27053,-1.18502,-4.37955,-4.19853,3.16727,-1.1621,-3.77106,-3.67,2.38133,-1.20822,-4.16106,-3.90084,0.821363,2.61882,-4.14795,-4.13372,1.20268,-1.73672,-4.20062,-4.19394,1.07971,1.14019,-3.82767,-3.50863,1.47333,-0.784003,-3.89599,-3.70114,0.646821,0.996761,-3.81215,-3.58292,0.449145,1.34751,-3.81358,-3.4181,0.949246,-0.756961,-3.81924,-3.69967,0.525062,-0.832904,-4.01974,-3.70331,203,4,1.53549,5,3.14628
5.11882,-0.543638,0.965651,0.935173,6.96453,-0.254892,1.18474,1.16447,4.47652,-0.258322,1.27634,1.20165,5.11882,2.59795,2.0096,1.96992,4.98983,2.09368,1.98746,1.94399,2.09718,-0.926636,2.34544,2.03744,2.64524,-0.353914,1.00273,1.00167,1.58345,-0.734647,2.26532,2.26154,1.86056,-0.122201,1.56965,1.45037,0.621244,-1.43454,2.37156,1.74091,0.866466,-0.0551378,1.69181,1.56173,0.997733,-0.18043,1.44746,1.35056,0.378788,-1.33576,2.39473,1.91208,0.247142,-1.58628,2.3155,1.54823,366,16,7.82337,8,3.88649
1.95593,-1.35001,2.48296,2.25572,2.95724,-1.75977,2.86983,2.75618,0.945185,-2.76153,-1.75771,-1.02729,1.95593,1.79159,3.60599,3.37515,2.57306,2.5773,3.43888,3.29295,0.768832,-1.6733,-3.09623,-2.09821,0.686196,2.92163,-0.300014,-0.294163,0.373509,1.6694,-2.98835,-2.92335,0.541909,-1.96489,-2.21398,-1.49422,1.13726,-1.60765,-2.14395,-1.85977,0.191317,-2.2822,-2.27699,-1.32219,0.365056,-1.80063,-2.13852,-1.64275,0.709312,-1.70609,-1.98651,-1.79783,0.436983,-1.44743,-2.34069,-1.94093,146,3,0.993185,2,0.726643
3.1974,3.10423,-6.07527,-5.97581,6.0662,-3.1413,-5.84081,-5.81114,4.08046,-3.12332,-5.91351,-5.8089,3.1974,-0.0373653,-6.11217,-6.01271,1.87107,-1.09931,-5.74518,-5.49702,0.936596,-0.230933,-6.05243,-5.20765,2.19349,-3.08444,-5.52346,-5.52144,0.559009,-1.97458,-5.56929,-5.53905,1.89054,3.11476,-6.23039,-6.1029,1.17039,0.258936,-5.37049,-5.0833,0.900151,3.06292,-6.12296,-5.99148,0.992697,-3.12142,-6.3166,-6.20611,0.74083,0.263505,-5.14708,-4.96336,0.429577,0.251056,-5.66705,-5.24613,101,6,5.78608,2,0.806315
2.37424,-1.79737,0.716956,0.61909,3.45556,-1.59513,0.911424,0.850428,1.42713,-1.79084,1.11984,0.735444,2.37424,1.34422,1.24599,1.10732,1.55066,1.16199,0.885311,0.671211,1.12727,1.08445,1.37076,0.820324,0.455725,2.61149,0.378073,0.362201,0.801198,0.316943,0.325077,0.320414,1.6252,-1.52052,0.946041,0.83049,0.782774,1.87492,1.57598,1.14478,0.624911,-1.54441,0.978134,0.805817,1.00058,-1.5056,0.925387,0.848101,0.331263,1.55553,1.68984,1.17135,0.479677,2.0935,1.42987,1.12183,90,3,2.44841,3,0.59217
3.80973,-2.83683,3.9439,3.8719,6.75727,-2.88737,4.06478,4.04075,5.44505,-2.95291,4.08342,4.02204,3.80973,0.304766,4.95168,4.87963,2.33572,0.054443,4.92532,4.75269,2.99025,0.0328072,5.01055,4.83056,0.422734,-2.89181,3.16146,3.10992,2.14761,0.215807,4.93311,4.931,5.02317,-2.95805,4.13272,4.1126,0.961505,-0.38578,5.05249,4.67655,2.83583,-2.93259,4.10018,4.08526,2.18945,-2.99104,4.17243,4.14765,0.482568,-0.204103,5.16212,4.80407,0.494625,-0.56298,4.89613,4.55057,142,4,5.84475,6,6.1803
1.19472,-1.85296,0.806412,0.533053,0.765389,-2.19056,-0.0578077,-0.0262858,1.04203,-2.50177,-1.0436,-0.553181,1.19472,1.28863,-0.112043,-0.0698936,2.03098,1.60591,0.21829,0.176078,1.96716,1.54042,0.540882,0.391194,0.332736,2.82319,0.830071,0.776135,1.4153,1.7631,0.0902275,0.0897932,0.893218,-2.19206,-1.34888,-1.00479,0.664849,1.05101,1.18765,0.74061,0.342802,-2.36133,-1.30601,-0.863918,0.55831,-2.08844,-1.36228,-1.11853,0.414177,0.959383,1.26056,0.911087,0.255238,1.20004,1.04256,0.543265,112,3,1.29549,3,2.35739
